,Rules,Coverage,Precision
72,"IF thalach IS (166.0, 202.0] AND age IS (55.0, 61.0] THEN CLASS IS 1",0.81,100.00
73,"IF chol IS (125.0, 211.0] AND age IS (47.0, 55.0] THEN CLASS IS 1",0.81,100.00
74,"IF chol IS (125.0, 211.0] AND age IS (61.0, 77.0] THEN CLASS IS 0",0.97,100.00
75,"IF age IS (61.0, 77.0] THEN CLASS IS 1",0.81,100.00
76,IF sex IS 0 THEN CLASS IS 1,2.42,100.00
77,"IF trestbps IS (120.0, 130.0] THEN CLASS IS 0",1.94,100.00
78,"IF thalach IS (87.0, 136.0] THEN CLASS IS 0",0.97,100.00
79,"IF oldpeak IS (0.8, 1.8] THEN CLASS IS 1",1.61,100.00
80,"IF trestbps IS (140.0, 192.0] THEN CLASS IS 0",2.91,100.00
81,"IF age IS (47.0, 55.0] THEN CLASS IS 1",1.61,100.00
82,IF cp IS 1 THEN CLASS IS 1,1.61,100.00
83,"IF chol IS (270.0, 409.0] THEN CLASS IS 0",0.97,100.00
84,IF restecg IS 1 THEN CLASS IS 1,1.61,100.00
85,"IF thalach IS (136.0, 152.0] THEN CLASS IS 1",0.81,100.00
86,"IF age IS (28.0, 47.0] THEN CLASS IS 0",1.94,100.00
87,IF exang IS 1 THEN CLASS IS 1,0.81,100.00
88,"IF age IS (55.0, 61.0] THEN CLASS IS 0",0.97,100.00
89,DEFAULT CLASS IS 1,0.00,0.00
